,Pack_Size,Number_of_Transactions,Total_Sales
0,110,22387,162765.4
1,125,1454,5733.0
2,134,25102,177655.5
3,135,3257,26090.4
4,150,43131,304288.5
5,160,2970,10647.6
6,165,15297,101360.6
7,170,19983,146673.0
8,175,66390,485437.4
9,180,1468,8568.4
10,190,2995,14412.9
11,200,4473,16007.5
12,210,6272,43048.8
13,220,1564,6830.999999999999
14,250,3169,26096.7
15,270,6285,55425.399999999994
16,300,15166,113330.59999999999
17,330,12540,136794.30000000002
18,380,6418,76719.6
19,70,1507,6852.0
20,90,3008,9676.4
